,video_number,url,start_min,start_sec,end_min,end_sec
0,0,https://www.youtube.com/watch?v=i0UsldY4Ue4,0.0,0.0,0.0,44.0
1,2,https://www.youtube.com/watch?v=_QgxFkG44v8,0.0,0.0,0.0,10.0
2,4,https://www.youtube.com/watch?v=fH6ptLkPIfM,0.0,0.0,2.0,58.0
3,5,https://www.youtube.com/watch?v=yyGC5nak5gs,0.0,0.0,0.0,32.0
4,10,https://www.youtube.com/watch?v=S2D8f0nrk3U,0.0,23.0,0.0,58.0
5,12,https://www.youtube.com/watch?v=T9Y2ZjssoNA,0.0,10.0,0.0,60.0
6,13,https://www.youtube.com/watch?v=V9gt_YsPprY,0.0,0.0,0.0,20.0
7,20,https://www.youtube.com/watch?v=rPt8wwFfO2Q,4.0,24.0,4.0,50.0
8,32,https://www.youtube.com/watch?v=RU5DWogrC8k,2.0,38.0,3.0,20.0
9,34,https://www.youtube.com/watch?v=cChvsIL-7qU,0.0,0.0,1.0,22.0
10,42,https://www.youtube.com/watch?v=leSJH5uhAtE,0.0,0.0,1.0,33.0
11,45,https://www.youtube.com/watch?v=ZtngI9_O9DE,15.0,2.0,15.0,10.0
12,47,https://www.youtube.com/watch?v=eiYANQY5NxM,9.0,2.0,9.0,15.0
13,52,https://www.youtube.com/watch?v=ruQFuc3k444,0.0,7.0,1.0,46.0
14,53,https://www.youtube.com/watch?v=e3wUr6W2VPw,0.0,0.0,0.0,3.0
15,59,https://www.youtube.com/watch?v=iXCDmbuxYIE,0.0,11.0,1.0,1.0
16,64,https://www.youtube.com/watch?v=IBsmXUwgDyo,1.0,12.0,1.0,18.0
17,67,https://www.youtube.com/watch?v=VVUwy-hus8Y,0.0,0.0,0.0,4.0
18,68,https://www.youtube.com/watch?v=kC9XmN9KYB4,1.0,30.0,1.0,41.0
19,71,https://www.youtube.com/watch?v=q33LLLzAS68,5.0,56.0,6.0,6.0
20,76,https://www.youtube.com/watch?v=A0xaokiOr-c,0.0,0.0,0.0,3.0
21,77,https://www.youtube.com/watch?v=gtkBDav78Kc,6.0,13.0,6.0,20.0
22,78,https://www.youtube.com/watch?v=GqAYFdGkVT4,6.0,44.0,6.0,55.0
23,79,https://www.youtube.com/watch?v=RjnFnjo6R0U,2.0,9.0,2.0,16.0
24,82,https://www.youtube.com/watch?v=nvtabwrQpj4,0.0,50.0,1.0,20.0
25,86,https://www.youtube.com/watch?v=3xDtZxwjAAI,1.0,35.0,1.0,51.0
26,87,https://www.youtube.com/watch?v=aRllH6vRvwE,1.0,1.0,1.0,11.0
27,88,https://www.youtube.com/watch?v=mJ4QlC0GQCU,0.0,0.0,1.0,5.0
28,90,https://www.youtube.com/watch?v=bE6hiY_OvYs,0.0,53.0,1.0,27.0
29,91,https://www.youtube.com/watch?v=gRb5Qaqr7HU,0.0,0.0,0.0,3.0
30,93,https://www.youtube.com/watch?v=gRb5Qaqr7HU,1.0,29.0,1.0,31.0
31,99,https://www.youtube.com/watch?v=E-zWIb2ES28,0.0,0.0,0.0,11.0
32,102,https://www.youtube.com/watch?v=1ArMLCA6AJQ,0.0,6.0,0.0,7.0
33,105,https://www.youtube.com/watch?v=OONoQh6AkwQ,0.0,0.0,2.0,8.0
34,106,https://www.youtube.com/watch?v=5b07smydcyg,0.0,0.0,0.0,8.0
35,107,https://www.youtube.com/watch?v=JlB8Deux9Ck,0.0,0.0,0.0,35.0
36,109,https://www.youtube.com/watch?v=ganBCk7GCrM,0.0,33.0,0.0,38.0
37,111,https://www.youtube.com/watch?v=LVZb_NXwVcM,0.0,0.0,2.0,29.0
38,112,https://www.youtube.com/watch?v=ReNYmojtmkw,0.0,0.0,1.0,10.0
39,113,https://www.youtube.com/watch?v=N4HOeZa57c8,0.0,13.0,0.0,20.0
40,114,https://www.youtube.com/watch?v=rY6oUFoSiq4,1.0,44.0,1.0,48.0
41,116,https://www.youtube.com/watch?v=4PFu5WR9PFA,1.0,42.0,1.0,48.0
42,121,https://www.youtube.com/watch?v=zDZskLZO0gA,5.0,15.0,5.0,29.0
43,125,https://www.youtube.com/watch?v=q4nly1vkixk,0.0,0.0,0.0,3.0
44,127,https://www.youtube.com/watch?v=JAc7Q3HOiZE,0.0,27.0,0.0,40.0
45,134,https://www.youtube.com/watch?v=Eowat0du0k4,0.0,0.0,0.0,2.0
46,135,https://www.youtube.com/watch?v=yB_XAhIkrFA,0.0,0.0,0.0,53.0
47,141,https://www.youtube.com/watch?v=lu8z0bBiytc,1.0,2.0,1.0,18.0
48,151,https://youtu.be/FXboeU93ZrE,0.0,3.0,1.0,38.0
49,168,https://youtu.be/dH1hKJyccPo,0.0,0.0,0.0,55.0
50,173,https://youtu.be/iyPK5ajF1jg,0.0,17.0,1.0,47.0
51,179,https://youtu.be/cWdX3TZqNtg,0.0,0.0,1.0,18.0
52,187,https://youtu.be/4o40rq4E_J8,0.0,0.0,0.0,31.0
53,190,https://youtu.be/eyqs1ZL6Ows,0.0,0.0,0.0,10.0
54,191,https://youtu.be/OqK337XlgTc,0.0,0.0,1.0,24.0
55,199,https://www.youtube.com/watch?v=V7d7f40VvZk,4.0,12.0,4.0,16.0
56,204,https://www.youtube.com/watch?v=sWfWJqOBcKA,0.0,0.0,0.0,42.0
57,206,https://www.youtube.com/watch?v=CfDkFLzv8kc,0.0,0.0,1.0,13.0
58,209,https://www.youtube.com/watch?v=GpGnc70Tk9Q,1.0,6.0,1.0,13.0
59,220,https://www.youtube.com/watch?v=ORdumlM2mo4,0.0,1.0,1.0,3.0
60,222,https://www.youtube.com/watch?v=0LGLSB5BVi0,0.0,0.0,0.0,9.0
61,227,https://www.youtube.com/watch?v=nS1phWhZ2ZU,0.0,0.0,0.0,27.0
62,230,https://www.youtube.com/watch?v=aTCOc500Rho,0.0,0.0,1.0,9.0
63,231,https://www.youtube.com/watch?v=mUo_nF1p0B4,0.0,0.0,0.0,46.0
64,236,https://www.youtube.com/watch?v=_eyl8uuoFcg,0.0,0.0,0.0,41.0
65,241,https://www.youtube.com/watch?v=tDlk2-IMW2E,0.0,0.0,0.0,23.0
66,242,https://www.youtube.com/watch?v=88JlmrN5s-k,0.0,27.0,0.0,38.0
67,244,https://www.youtube.com/watch?v=QEkmVilCnRk,0.0,0.0,0.0,32.0
